STATE,PID6,UNIT_TYPE,FIPST,NAME,CONUM,CSA,CBSA,SCHLEV,NCESID,YRDATA,ENROLL,TOTALREV,TFEDREV,FEDRCOMP,FEDRSPEC,FEDRNUTR,FEDROTHR,TSTREV,STRFORM,STRSPEC,STRTRANS,STROTHR,TLOCREV,LOCRTAX,LOCRPROP,LOCRPAR,LOCRCICO,LOCROSCH,LOCRCHAR,LOCROTHR,TOTALEXP,TCURSPND,TSALWAGE,TEMPBENE,TCURINST,TCURISAL,TCURIBEN,TCURSSVC,TCURSPUP,TCURSSTA,TCURSGEN,TCURSSCH,TCURSOTH,TCURONON,TCAPOUT,TPAYOTH,TINTRST,DEBTOUT,LONGISSU,LONGRET,PCTTOTAL,PCTFTOT,PCTFCOMP,PCTSTOT,PCTSFORM,PCTLTOT,PCTLTAXP,PCTLOTHG,PCTLCHAR,PPCSTOT,PPSALWG,PPEMPBEN,PPITOTAL,PPISALWG,PPIEMBEN,PPSTOTAL,PPSPUPIL,PPSSTAFF,PPSGENAD,PPSSCHAD
01,100191,5,01,BALDWIN COUNTY SCHOOL DISTRICT,01003,380,19300,03,0100270,23,31517,544179,47940,6759,6883,12133,22165,224953,173456,0,16187,35310,271286,75545,75481,0,151951,0,16108,27682,491199,417073,231616,81592,237976,151622,52125,154894,25151,18825,6243,25814,78861,24203,67632,380,6114,432676,0,22206,100,8.8,1.2,41.3,31.9,49.9,13.9,27.9,3,13089,7349,2589,7544,4811,1654,4915,798,597,198,819
01,100192,5,01,ONEONTA CITY SCHOOL DISTRICT,01009,142,13820,03,0102550,23,1403,20315,2573,252,326,686,1309,12209,9217,0,488,2504,5533,1561,1560,0,1741,9,1487,735,18015,17238,9141,3243,9768,6188,2133,5638,1022,815,607,982,2212,1832,401,132,244,6780,0,305,100,12.7,1.2,60.1,45.4,27.2,7.7,8.6,7.3,11816,6515,2311,6962,4411,1520,4019,728,581,433,700
01,100193,5,01,PIEDMONT CITY SCHOOL DISTRICT,01015,N,11500,03,0102760,23,1131,16416,2952,516,241,759,1436,9951,7554,0,0,2397,3513,1156,1154,0,1382,0,487,488,14612,13190,7706,2639,7688,5214,1763,4375,900,511,862,782,1320,1127,1382,12,28,2502,0,0,100,18,3.1,60.6,46,21.4,7,8.4,3,11284,6813,2333,6798,4610,1559,3868,796,452,762,691
01,100194,5,01,CHOCTAW COUNTY SCHOOL DISTRICT,01023,N,N,03,0100690,23,1097,21769,5994,752,360,1022,3860,7879,4069,0,1619,2191,7896,5541,5440,0,1269,0,522,564,19463,19172,9361,3589,7653,4873,1786,9721,1466,1977,1161,934,4183,1798,45,75,171,6291,0,1427,100,27.5,3.5,36.2,18.7,36.3,25.5,5.8,2.4,16901,8533,3272,6965,4442,1628,8861,1336,1802,1058,851
01,100195,5,01,COOSA COUNTY SCHOOL DISTRICT,01037,388,10760,03,0100900,23,805,15256,2953,497,285,701,1470,8513,3871,147,1207,3288,3790,2347,2341,0,803,0,331,309,13970,12452,6360,2471,5893,3455,1286,5580,910,613,664,725,2668,979,1433,23,62,562,0,353,100,19.4,3.3,55.8,25.4,24.8,15.4,5.3,2.2,15257,7901,3070,7320,4292,1598,6932,1130,761,825,901
01,100196,5,01,SELMA CITY SCHOOL DISTRICT,01047,388,42820,03,0102970,23,2587,47770,17350,2530,846,2136,11838,21821,14868,0,302,6651,8599,3609,3604,0,2085,0,664,2241,43120,37858,20046,7283,19623,11169,4201,14652,2359,3104,1600,2197,5392,3583,4833,41,388,27047,0,498,100,36.3,5.3,45.7,31.1,18,7.6,4.4,1.4,14254,7749,2815,7585,4317,1624,5664,912,1200,618,849
01,100197,5,01,DOTHAN CITY SCHOOL DISTRICT,01069,222,20020,03,0101230,23,8254,120872,29944,4565,2777,5526,17076,62495,45806,0,3533,13156,28433,10566,10206,0,13496,0,2275,2096,120007,115427,58937,22164,58717,35769,13436,47510,8137,6527,4771,6256,21819,9200,3324,174,1082,18973,681,1700,100,24.8,3.8,51.7,37.9,23.5,8.7,11.2,1.9,13750,7140,2685,7025,4334,1628,5756,986,791,578,758
01,100198,5,01,FAIRFIELD CITY SCHOOL DISTRICT,01073,142,13820,03,0101440,23,1476,25768,7085,828,441,1158,4658,12996,9699,0,403,2894,5687,3858,3856,0,168,0,270,1391,25766,23445,11159,3950,11768,6629,2374,9668,1805,1563,1134,1200,3966,2009,2272,10,39,326,0,101,100,27.5,3.2,50.4,37.6,22.1,15,0.7,1,15550,7560,2676,7958,4491,1608,6550,1223,1059,768,813
01,100199,5,01,ATHENS CITY SCHOOL DISTRICT,01083,290,26620,03,0100120,23,4840,80239,7321,794,976,2030,3521,38040,29777,0,1171,7092,34878,4457,4451,0,25104,0,2304,3013,65213,56598,31875,11044,33339,21860,7489,19645,2915,2357,1214,3267,9892,3614,5523,280,2812,48574,0,3012,100,9.1,1,47.4,37.1,43.5,5.6,31.3,2.9,11561,6586,2282,6880,4517,1547,4059,602,487,251,675
01,100200,5,01,PICKENS COUNTY SCHOOL DISTRICT,01107,N,46220,03,0102730,23,2373,35871,7125,1357,646,1542,3580,21749,15100,0,2734,3915,6997,2210,2199,0,2704,0,1253,830,33744,32356,17459,6513,16426,10355,3805,12902,2259,1661,1283,2189,5510,3028,1036,63,289,8500,0,543,100,19.9,3.8,60.6,42.1,19.5,6.2,7.5,3.5,13293,7357,2745,6920,4364,1603,5437,952,700,541,922
